Neighbourhood,Latitude,Longitude
Riley Park,49.2448536,-123.1030349
Downtown,49.283393,-123.1174563
Dunbar-Southlands,49.23786405,-123.1843544
Fairview,49.2619557,-123.1304084
Grandview-Woodland,49.2758495,-123.0669344
Hastings-Sunrise,49.27782975,-123.0400054
Kensington-Cedar Cottage,49.2476321,-123.0842067
Kerrisdale,49.2209848,-123.1595484
Killarney,49.21801175,-123.037115
Kitsilano,49.2694099,-123.155267
Marpole,49.2092233,-123.1361495
Mount Pleasant,49.26404825,-123.0962492
Oakridge,49.22661495,-123.1229433
Renfrew-Collingwood,49.24857685,-123.0401793
Shaughnessy/Arbutus-Ridge,49.235905,-123.1553445
Strathcona,49.2776935,-123.0885393
Sunset,49.2190935,-123.0916654
University Lands,49.25839375,-123.2465816
Victoria-Fraserview,49.2189795,-123.0638159
West End,49.2841308,-123.1317949
West Point Grey,49.26810215,-123.2026425
